model,metric,demo_value,subsample_q025,subsample_q50,subsample_q975,demo_percentile_(better_direction)
ExtraTrees,AUROC,0.6235517568850901,0.9146172086720867,1.0,1.0,0.0
ExtraTrees,AUPRC,0.5665760821003344,0.7180208333333333,1.0,1.0,0.4
ExtraTrees,LogLoss,0.6731895291172989,0.027556257321815974,0.034333155043459414,0.05930800822920406,0.0
ExtraTrees,Brier,0.2400539578778767,0.0038517454410523545,0.006455720366246436,0.013102101853743147,0.0
ExtraTrees,ECE,0.0388810300902233,0.02060459487785107,0.026342567119928426,0.03104035151054748,0.0
GaussianNB,AUROC,0.5627097182652738,0.360645325203252,0.5487804878048781,0.8838075880758807,55.1
GaussianNB,AUPRC,0.5181827085197567,0.019576270699588456,0.18941389080972176,0.6870254834733609,85.2
GaussianNB,LogLoss,0.6912127925135166,0.06925680788551773,0.10422837185787816,0.1148048643487908,0.0
GaussianNB,Brier,0.24879217795470504,0.014734597957490677,0.021748052511856186,0.023459851978733747,0.0
GaussianNB,ECE,0.06319685181826129,0.0038340659569817293,0.0118556339631399,0.02968065239417601,0.0
GradientBoosting,AUROC,0.7321937321937322,0.8485772357723579,1.0,1.0,0.2
GradientBoosting,AUPRC,0.6756097665495734,0.7345238095238095,1.0,1.0,1.4000000000000001
GradientBoosting,LogLoss,0.6125407032027014,0.022608998586502276,0.02260899859669228,0.05540795108427161,0.0
GradientBoosting,Brier,0.21115661305246744,0.0021794053437348966,0.0021794053494077533,0.011647999545625044,0.0
GradientBoosting,ECE,0.07789437315647227,0.020238511232060854,0.021275895492635248,0.02721343166408368,0.0
Logistic_L2,AUROC,0.5936688825577714,0.34808604336043364,0.8038617886178863,0.9850948509485095,16.2
Logistic_L2,AUPRC,0.5414703407695152,0.023982830604609533,0.24379888572391603,0.7487230940355939,89.7
Logistic_L2,LogLoss,0.6785111963066032,0.061954448932880414,0.09901010772182317,0.12359121419246233,0.0
Logistic_L2,Brier,0.24280834898396078,0.013737118906412353,0.0218564991378964,0.02521009688334141,0.0
Logistic_L2,ECE,0.022632153457823566,0.006179342092861699,0.01446300170613651,0.0305047644106333,16.1
MLP,AUROC,0.5453624564735675,0.3725440379403794,0.6686991869918699,0.9044715447154471,21.099999999999998
MLP,AUPRC,0.5040848942146674,0.023040369286603735,0.12185478106694503,0.46835056405815145,98.3
MLP,LogLoss,0.6881103971770247,0.08904728854018827,0.10801337260928534,0.11991293374886638,0.0
MLP,Brier,0.24746600503329635,0.020025834616141304,0.022906194543207553,0.024009103099143364,0.0
MLP,ECE,0.033321164373350746,0.005972422721263146,0.009830612823629754,0.023520476601244344,0.3
RandomForest,AUROC,0.7371953149730928,0.9233231707317072,0.9905149051490515,0.9993224932249323,0.0
RandomForest,AUPRC,0.6955091258895663,0.41933172545040875,0.790021645021645,0.976190476190476,23.5
RandomForest,LogLoss,0.6204319835300208,0.03752461430736699,0.052180869911832045,0.08213802166200984,0.0
RandomForest,Brier,0.2143683657271661,0.0071725967041266865,0.011908871096138102,0.019127040890933537,0.0
RandomForest,ECE,0.08576510697615435,0.015471993772975123,0.0252466607920896,0.03524079754056529,0.0
SVC_RBF,AUROC,0.646343779677113,0.6257283197831978,0.8753387533875339,0.9776422764227642,4.0
SVC_RBF,AUPRC,0.598515345459973,0.04180460540462973,0.14676029549172254,0.5494119784201306,98.3
SVC_RBF,LogLoss,0.6679138156691334,0.06940626807605219,0.09812187407822931,0.11343540406872049,0.0
SVC_RBF,Brier,0.23753381444985128,0.017688127214985482,0.022465976594575124,0.023870299645648744,0.0
SVC_RBF,ECE,0.03788712759024678,0.006733373996085531,0.010717010977491882,0.031090222016615446,0.1
