metric,n_models,mean_delta_avg_over_models,median_delta,n_models_sig_wilcoxon_holm_0p05,n_models_sig_ttest_holm_0p05
AUROC,7,0.20433748558558854,0.22519839628369595,7,7
Brier,7,-0.1323723819047678,-0.1848446278310604,7,7
Brier_REL,7,-0.0005706026732060736,-0.054858096551555255,7,7
Brier_RES,7,-0.06281840616905335,-0.0662346469572656,7,7
Brier_UNC,7,-0.19357137546778508,-0.1935713754677851,7,7
ECE,7,-0.09454337809301301,-0.10959724087009055,7,7
LogLoss,7,0.25240427274246946,-0.46710514674638715,7,7
aECE,7,-0.12353772708803883,-0.16754355273695049,7,7
n_eval,7,2765.7999999999997,2765.8,7,7
severity,7,0.0,0.0,0,0
