,WA_clean,WB_noise_outliers,WC_missingness,WD_shift,WE_surrogate_corrupt,WF_nonlinear,WG_label_noise,WH_subgroup_shift,WI_prevalence_shift,WJ_concept_drift
WA_clean,1.0,0.9642857142857145,0.9642857142857145,0.8928571428571429,1.0,0.03571428571428572,0.8928571428571429,0.8928571428571429,1.0,0.9642857142857145
WB_noise_outliers,0.9642857142857145,1.0,1.0,0.8571428571428573,0.9642857142857145,0.14285714285714288,0.8571428571428573,0.8571428571428573,0.9642857142857145,0.8928571428571429
WC_missingness,0.9642857142857145,1.0,1.0,0.8571428571428573,0.9642857142857145,0.14285714285714288,0.8571428571428573,0.8571428571428573,0.9642857142857145,0.8928571428571429
WD_shift,0.8928571428571429,0.8571428571428573,0.8571428571428573,1.0,0.8928571428571429,0.21428571428571433,1.0,1.0,0.8928571428571429,0.9642857142857145
WE_surrogate_corrupt,1.0,0.9642857142857145,0.9642857142857145,0.8928571428571429,1.0,0.03571428571428572,0.8928571428571429,0.8928571428571429,1.0,0.9642857142857145
WF_nonlinear,0.03571428571428572,0.14285714285714288,0.14285714285714288,0.21428571428571433,0.03571428571428572,1.0,0.21428571428571433,0.21428571428571433,0.03571428571428572,0.07142857142857144
WG_label_noise,0.8928571428571429,0.8571428571428573,0.8571428571428573,1.0,0.8928571428571429,0.21428571428571433,1.0,1.0,0.8928571428571429,0.9642857142857145
WH_subgroup_shift,0.8928571428571429,0.8571428571428573,0.8571428571428573,1.0,0.8928571428571429,0.21428571428571433,1.0,1.0,0.8928571428571429,0.9642857142857145
WI_prevalence_shift,1.0,0.9642857142857145,0.9642857142857145,0.8928571428571429,1.0,0.03571428571428572,0.8928571428571429,0.8928571428571429,1.0,0.9642857142857145
WJ_concept_drift,0.9642857142857145,0.8928571428571429,0.8928571428571429,0.9642857142857145,0.9642857142857145,0.07142857142857144,0.9642857142857145,0.9642857142857145,0.9642857142857145,1.0
