variant,spearman_rank_vs_ref,kendall_rank_vs_ref
S_drop|C_exp|E_mix,1.0,1.0
S_drop|C_exp|E_cos,1.0,1.0
S_drop|C_exp|E_rank,1.0,1.0
S_drop|C_exp|E_jaccard,1.0,1.0
S_ratio|C_exp|E_jaccard,1.0,1.0
S_ratio|C_exp|E_rank,1.0,1.0
S_ratio|C_exp|E_cos,1.0,1.0
S_ratio|C_exp|E_mix,1.0,1.0
S_drop|C_linear|E_jaccard,0.8928571428571429,0.8095238095238096
S_drop|C_linear|E_rank,0.8928571428571429,0.8095238095238096
S_drop|C_linear|E_cos,0.8928571428571429,0.8095238095238096
S_drop|C_linear|E_mix,0.8928571428571429,0.8095238095238096
S_ratio|C_linear|E_mix,0.8928571428571429,0.8095238095238096
S_ratio|C_linear|E_cos,0.8928571428571429,0.8095238095238096
S_ratio|C_linear|E_rank,0.8928571428571429,0.8095238095238096
S_ratio|C_linear|E_jaccard,0.8928571428571429,0.8095238095238096
